	
%.2fx	%.2fx
%@	%@
%@ %@	%1$@ %2$@
%@ %@ (%@)	%1$@ %2$@ (%3$@)
%@ Automatically created	%@ Automatically created
%@ Episodes	%@ Episodes
%@ New Episodes	%@ New Episodes
%@ Settings	%@ Settings
%@ Unplayed	%@ Unplayed
%@ Unplayed Episodes	%@ Unplayed Episodes
%@ episodes	%@ episodes
%@ episodes in the feed	%@ episodes in the feed
%@ in Apple Podcasts	%@ in Apple Podcasts
%@ in Library	%@ in Library
%@ is not available	%@ is not available
%@ left	%@ left
%@ new episodes	%@ new episodes
%@ of %@	%1$@ of %2$@
%@ podcasts	%@ podcasts
%@ remaining	%@ remaining
%@ saved episodes	%@ saved episodes
%@ stations	%@ stations
%@ unplayed	%@ unplayed
%@ unplayed episodes	%@ unplayed episodes
AUTO_DOWNLOAD_REMOVAL_ACTION_TITLE	{"value": {"one": "Remove %d Download", "other": "Remove %d Downloads", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "NSStringLocalizedFormatKey": "%#@value@"}
AUTO_DOWNLOAD_REMOVAL_CONFIRMATION_ALERT_TITLE_MAC	Remove Older Downloads?
AUTO_DOWNLOAD_REMOVAL_CONFIRMATION_MESSAGE	{"value": {"one": "Changing this setting will remove %d automatically downloaded episode. Episodes you saved or manually downloaded will not be removed.", "other": "Changing this setting will remove %d automatically downloaded episodes. Episodes you saved or manually downloaded will not be removed.", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "NSStringLocalizedFormatKey": "%#@value@"}
AUTO_DOWNLOAD_REMOVAL_TIP	{"NSStringDeviceSpecificRuleType": {"ipad": "Remove older automatic downloads by limiting how many are kept on this iPad. This default setting will not affect shows with customized settings.\n\nEpisodes you saved or manually downloaded will not be removed.", "applevision": "Remove older automatic downloads by limiting how many are kept on this Apple Vision Pro. This default setting will not affect shows with customized settings.\n\nEpisodes you saved or manually downloaded will not be removed.", "iphone": "Remove older automatic downloads by limiting how many are kept on this iPhone. This default setting will not affect shows with customized settings.\n\nEpisodes you saved or manually downloaded will not be removed.", "ipod": "Remove older automatic downloads by limiting how many are kept on this iPod. This default setting will not affect shows with customized settings.\n\nEpisodes you saved or manually downloaded will not be removed.", "mac": "Remove older automatic downloads by limiting how many are kept on this Mac. This default setting will not affect shows with customized settings.\n\nEpisodes you saved or manually downloaded will not be removed."}}
AUTO_DOWNLOAD_REMOVAL_TIP_SHOWS	{"NSStringDeviceSpecificRuleType": {"ipad": "Remove older automatic downloads by limiting how many are kept on this iPad. You can change this for all shows in the %@.\n\nEpisodes you saved or manually downloaded will not be removed.", "applevision": "Remove older automatic downloads by limiting how many are kept on this Apple Vision Pro. You can change this for all shows in the %@.\n\nEpisodes you saved or manually downloaded will not be removed.", "iphone": "Remove older automatic downloads by limiting how many are kept on this iPhone. You can change this for all shows in the %@.\n\nEpisodes you saved or manually downloaded will not be removed.", "ipod": "Remove older automatic downloads by limiting how many are kept on this iPod. You can change this for all shows in the %@.\n\nEpisodes you saved or manually downloaded will not be removed.", "mac": "Remove older automatic downloads by limiting how many are kept on this Mac. You can change this for all shows in the %@.\n\nEpisodes you saved or manually downloaded will not be removed."}}
AUTO_DOWNLOAD_TIP	Listen to new episodes offline with automatic downloads. Free up storage by setting a limit on how many automatic downloads are kept. Downloading videos will use more storage.
AUTO_DOWNLOAD_VIDEO	Automatically Download Video
AUTO_DOWNLOAD_VIDEO_TIP_MESSAGE	This applies to all new episodes with video for this show and will use more storage.
AUTO_DOWNLOAD_VIDEO_TIP_TITLE	Automatically Download Video?
AUTO_DOWNLOAD_VIDEO_TIP_TURN_ON	Turn On
